datetime,mean_h,min_h,max_h,homeid
2016-10-25,418.0,417.0,419.0,102
2016-10-26,,,,102
2016-10-27,,,,102
2016-10-28,,,,102
2016-10-29,,,,102
2016-10-30,,,,102
2016-10-31,,,,102
2016-11-01,,,,102
2016-11-02,,,,102
2016-11-03,,,,102
2016-11-04,,,,102
2016-11-05,,,,102
2016-11-06,,,,102
2016-11-07,,,,102
2016-11-08,,,,102
2016-11-09,,,,102
2016-11-10,,,,102
2016-11-11,,,,102
2016-11-12,,,,102
2016-11-13,,,,102
2016-11-14,,,,102
2016-11-15,,,,102
2016-11-16,,,,102
2016-11-17,,,,102
2016-11-18,,,,102
2016-11-19,,,,102
2016-11-20,,,,102
2016-11-21,,,,102
2016-11-22,,,,102
2016-11-23,,,,102
2016-11-24,,,,102
2016-11-25,,,,102
2016-11-26,,,,102
2016-11-27,,,,102
2016-11-28,,,,102
2016-11-29,,,,102
2016-11-30,,,,102
2016-12-01,,,,102
2016-12-02,,,,102
2016-12-03,,,,102
2016-12-04,,,,102
2016-12-05,,,,102
2016-12-06,,,,102
2016-12-07,,,,102
2016-12-08,,,,102
2016-12-09,,,,102
2016-12-10,,,,102
2016-12-11,,,,102
2016-12-12,,,,102
2016-12-13,,,,102
2016-12-14,,,,102
2016-12-15,,,,102
2016-12-16,,,,102
2016-12-17,,,,102
2016-12-18,,,,102
2016-12-19,,,,102
2016-12-20,,,,102
2016-12-21,,,,102
2016-12-22,,,,102
2016-12-23,,,,102
2016-12-24,,,,102
2016-12-25,,,,102
2016-12-26,,,,102
2016-12-27,,,,102
2016-12-28,,,,102
2016-12-29,,,,102
2016-12-30,,,,102
2016-12-31,,,,102
2017-01-01,,,,102
2017-01-02,,,,102
2017-01-03,,,,102
2017-01-04,,,,102
2017-01-05,,,,102
2017-01-06,,,,102
2017-01-07,,,,102
2017-01-08,,,,102
2017-01-09,,,,102
2017-01-10,,,,102
2017-01-11,,,,102
2017-01-12,,,,102
2017-01-13,,,,102
2017-01-14,,,,102
2017-01-15,,,,102
2017-01-16,,,,102
2017-01-17,,,,102
2017-01-18,,,,102
2017-01-19,,,,102
2017-01-20,,,,102
2017-01-21,,,,102
2017-01-22,,,,102
2017-01-23,,,,102
2017-01-24,,,,102
2017-01-25,,,,102
2017-01-26,,,,102
2017-01-27,,,,102
2017-01-28,,,,102
2017-01-29,,,,102
2017-01-30,,,,102
2017-01-31,,,,102
2017-02-01,,,,102
2017-02-02,,,,102
2017-02-03,,,,102
2017-02-04,,,,102
2017-02-05,,,,102
2017-02-06,,,,102
2017-02-07,,,,102
2017-02-08,,,,102
2017-02-09,,,,102
2017-02-10,,,,102
2017-02-11,,,,102
2017-02-12,,,,102
2017-02-13,,,,102
2017-02-14,,,,102
2017-02-15,,,,102
2017-02-16,,,,102
2017-02-17,,,,102
2017-02-18,,,,102
2017-02-19,,,,102
2017-02-20,,,,102
2017-02-21,,,,102
2017-02-22,,,,102
2017-02-23,,,,102
2017-02-24,,,,102
2017-02-25,,,,102
2017-02-26,,,,102
2017-02-27,,,,102
2017-02-28,,,,102
2017-03-01,,,,102
2017-03-02,,,,102
2017-03-03,,,,102
2017-03-04,,,,102
2017-03-05,,,,102
2017-03-06,,,,102
2017-03-07,,,,102
2017-03-08,,,,102
2017-03-09,390.7933261571582,334.0,489.0,102
2017-03-10,448.3082851637765,383.0,507.0,102
2017-03-11,498.82213044716605,451.0,553.0,102
2017-03-12,562.7769252628588,519.0,720.0,102
2017-03-13,534.0026857654432,461.0,614.0,102
2017-03-14,505.59422262552937,424.0,575.0,102
2017-03-15,493.5676435760805,440.0,564.0,102
2017-03-16,506.2282303370786,462.0,585.0,102
2017-03-17,520.237074583635,470.0,634.0,102
2017-03-18,526.2547636909227,448.0,594.0,102
2017-03-19,540.7512274959083,398.0,621.0,102
2017-03-20,452.6902857142857,399.0,482.0,102
2017-03-21,439.910888252149,353.0,501.0,102
2017-03-22,432.6726391540608,360.0,500.0,102
2017-03-23,440.22116630669547,388.0,471.0,102
2017-03-24,457.05985214671597,372.0,575.0,102
2017-03-25,386.8598557338437,321.0,454.0,102
